Occurrence_year,Homicide_Type,Neighbourhood,Lat,Long,postcode
292,2006,Other,Birchcliffe-Cliffside (122),43.710178,-79.256462,M1K 1G1
293,2006,Other,Church-Yonge Corridor (75),43.662899,-79.383736,M4Y 1X5
294,2006,Shooting,Humber Summit (21),43.759056,-79.569107,M9L 2E3
295,2006,Shooting,Victoria Village (43),43.718910,-79.304466,M4A 2M2
296,2006,Other,Wexford/Maryvale (119),43.727943,-79.300484,M1L 2T3
297,2006,Stabbing,Highland Creek (134),43.789280,-79.194359,M1E 4P7
298,2006,Other,Stonegate-Queensway (16),43.627735,-79.496269,M8Y 1K5
299,2006,Stabbing,Cabbagetown-South St.James Town (71),43.666096,-79.364159,M5A 2J1
300,2006,Shooting,Bay Street Corridor (76),43.648640,-79.386620,NOTAVAIL
301,2006,Stabbing,Victoria Village (43),43.715988,-79.304939,M4B 2V7
302,2006,Stabbing,Victoria Village (43),43.715988,-79.304939,M4B 2V7
303,2006,Shooting,Malvern (132),43.809391,-79.228691,NOTAVAIL
304,2006,Other,Runnymede-Bloor West Village (89),43.649334,-79.484482,NOTAVAIL
305,2006,Shooting,Waterfront Communities-The Island (77),43.642738,-79.393929,M5V 3S8
306,2006,Other,Rouge (131),43.796772,-79.197136,M1B 3C3
307,2006,Other,Regent Park (72),43.662418,-79.358688,M5A 2B7
308,2006,Shooting,South Parkdale (85),43.638962,-79.427376,M6K 1G4
309,2006,Stabbing,Rexdale-Kipling (4),43.725754,-79.573471,M9W 4L2
310,2006,Shooting,Black Creek (24),43.761921,-79.518822,M3N 2X9
311,2006,Other,Islington-City Centre West (14),43.647400,-79.560150,M9B 3Z9
312,2007,Shooting,Malvern (132),43.799995,-79.228218,M1B 1H3
313,2007,Shooting,Flemingdon Park (44),43.712368,-79.324493,M3C 2Z2
314,2007,Other,Weston (113),43.699822,-79.515366,M9N 2B3
315,2007,Shooting,Agincourt South-Malvern West (128),43.782032,-79.268318,M1S 2B1
316,2007,Stabbing,Rockcliffe-Smythe (111),43.678021,-79.477776,NOTAVAIL
317,2007,Shooting,Cliffcrest (123),43.722439,-79.227905,M1M 2T6
318,2007,Stabbing,Downsview-Roding-CFB (26),43.725517,-79.513206,NOTAVAIL
319,2007,Stabbing,Wexford/Maryvale (119),43.726997,-79.291466,M1L 2L6
320,2007,Shooting,Humbermede (22),43.748779,-79.548370,M9M 2A8
321,2007,Shooting,Oakwood Village (107),43.692658,-79.440842,M6E 2A2
322,2007,Other,Newtonbrook East (50),43.780479,-79.412315,M2N 6Z8
323,2007,Stabbing,Glenfield-Jane Heights (25),43.751820,-79.516891,M3N 1K8
324,2007,Shooting,Cabbagetown-South St.James Town (71),43.668175,-79.369560,M4X 1G9
325,2007,Shooting,Mount Olive-Silverstone-Jamestown (2),43.753620,-79.587097,M9V 5C7
326,2007,Other,Woburn (137),43.762203,-79.226250,M1H 3B7
327,2007,Stabbing,Bathurst Manor (34),43.755123,-79.440536,M3H 2S1
328,2007,Shooting,North Riverdale (68),43.665050,-79.354340,M4M 2B3
329,2007,Stabbing,Ionview (125),43.733337,-79.263290,M1K 5J7
330,2007,Shooting,Downsview-Roding-CFB (26),43.716698,-79.527679,M9M 1A7
331,2007,Stabbing,Playter Estates-Danforth (67),43.677795,-79.350746,M4K 1P6
332,2007,Other,Rosedale-Moore Park (98),43.670227,-79.386787,M4Y 2B2
333,2007,Shooting,Rouge (131),43.804283,-79.179497,M1B 2X2
334,2007,Other,Elms-Old Rexdale (5),43.726742,-79.552086,M9W 2N8
335,2007,Shooting,Mount Pleasant East (99),43.708412,-79.390198,M4P 3B7
336,2007,Shooting,Humbermede (22),43.741798,-79.540131,M9M 2T9
337,2007,Shooting,Banbury-Don Mills (42),43.751801,-79.349564,NOTAVAIL
338,2007,Shooting,Kensington-Chinatown (78),43.649673,-79.401314,M5V 2B6
339,2007,Other,Moss Park (73),43.651569,-79.362740,M5A 1E9
340,2007,Stabbing,Parkwoods-Donalda (45),43.759926,-79.318710,M3A 2X2
341,2007,Shooting,Thistletown-Beaumond Heights (3),43.735508,-79.578308,M9W 0C6
342,2007,Other,Kensington-Chinatown (78),43.652947,-79.398048,M5T 1H1
