Index;Lat;Long;Price;Address;Bedroom;Bathroom;TotalRoom;PriceFor2Room;Shortpostcode
283;43.666096;-79.387322;2400.0;44 St Joseph Street;1;1.0;2.0;2400.000000;M5S
285;43.669146;-79.375902;2000.0;540 Sherbourne St;2;2.0;4.0;1000.000000;M4Y
286;43.669146;-79.375902;1650.0;540 Sherbourne St;1;1.0;2.0;1650.000000;M4Y
287;43.669146;-79.375902;1550.0;540 Sherbourne St;1;1.0;2.0;1550.000000;M4Y
291;43.641109;-79.419448;3450.0;19 Sudbury St;3;1.5;4.5;1533.333333;M6K
294;43.651958;-79.368855;2550.0;333 Adelaide St E;2;1.0;3.0;1700.000000;M5A
295;43.636759;-79.397850;1900.0;600 Queens Quay W;1;1.0;2.0;1900.000000;M5V
296;43.621602;-79.482868;2450.0;;1;1.0;2.0;2450.000000;M8V
298;43.640058;-79.379201;2800.0;;1;1.0;2.0;2800.000000;M5J
300;43.658981;-79.362919;2099.0;200 Sackville St;1;1.0;2.0;2099.000000;M5A
301;43.652576;-79.367066;2350.0;424 Adelaide St E;1;1.0;2.0;2350.000000;M5A
302;43.652576;-79.367066;2350.0;424 Adelaide St E;1;1.0;2.0;2350.000000;M5A
303;43.688897;-79.411984;1617.0;320 Lonsdale Road;1;1.0;2.0;1617.000000;M5P
305;43.654758;-79.400827;1750.0;80 Kensington Ave;1;1.0;2.0;1750.000000;M5T
306;43.647632;-79.392963;2100.0;Peter St;1;1.0;2.0;2100.000000;M5V
307;43.660605;-79.378635;1950.0;89 McGill Street;1;1.0;2.0;1950.000000;M5B
314;43.645077;-79.364342;2450.0;15 Merchants Wharf;1;1.0;2.0;2450.000000;M5A
315;43.652210;-79.370799;2200.0;105 George St;1;1.0;2.0;2200.000000;M5A
318;43.639406;-79.393232;2424.0;11 Brunel Ct;1;1.0;2.0;2424.000000;M5V
319;43.670159;-79.375638;1700.0;565 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
320;43.668468;-79.374834;1400.0;545 - 555 Sherbourne Street;1;1.0;2.0;1400.000000;M4X
321;43.668468;-79.374834;1700.0;545 - 555 Sherbourne Street;1;1.0;2.0;1700.000000;M4X
324;43.641806;-79.378981;1830.0;100 Harbour St;1;1.0;2.0;1830.000000;M5J
325;43.665588;-79.383028;2000.0;28 Wellesley Street East;1;1.0;2.0;2000.000000;M4Y
326;43.691147;-79.471435;1850.0;2548 Eglinton Ave W;2;1.0;3.0;1233.333333;M6M
327;43.648858;-79.433007;1300.0;101 Sheridan Ave;2;1.0;3.0;866.666667;M6K
328;43.642679;-79.376994;2275.0;33 Bay St;1;1.0;2.0;2275.000000;M5E
329;43.653164;-79.390031;2480.0;96 St Patrick St;1;1.0;2.0;2480.000000;M5T
331;43.643105;-79.375906;3200.0;12 Yonge St;2;2.0;4.0;1600.000000;M5E
333;43.640223;-79.395951;2500.0;10 Capreol Ct;1;2.0;3.0;1666.666667;M5V
335;43.641908;-79.381780;2000.0;14 York St;1;1.0;2.0;2000.000000;M5J
336;43.640351;-79.427522;2574.0;295 Dufferin St.;2;1.0;3.0;1716.000000;M6K
337;43.640351;-79.427522;2591.0;295 Dufferin St.;2;1.0;3.0;1727.333333;M6K
